College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,CS,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,XM,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
1015 Total,,,,,,,264,81.84,69.96,9.24,52.8,39.6,7.92,2.64
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,ME,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
