College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PR,29
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,TX,29
2006 Total,,,,,,,294
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CE,44
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CH,39
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CS,59
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EC,59
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EE,63
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,ME,64
2007 Total,,,,,,,328
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CE,39
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CS,49
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EC,49
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EE,49
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,ME,49
5008 Total,,,,,,,235
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,AS,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,BS,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,BY,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CG,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CM,95
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CN,21
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EM,53
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,ES,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,FY,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,IM,95
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,IY,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MF,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MS,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MY,21
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PN,21
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PS,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,RA,41
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,TT,21
2006 Total,,,,,,,778
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,AT,41
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CL,14
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CM,41
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CN,10
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EM,41
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EY,38
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,IM,41
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,MF,39
2007 Total,,,,,,,265
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CM,89
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CN,55
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CW,47
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EM,89
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EY,48
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,IM,124
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,MF,48
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,MG,41
5008 Total,,,,,,,541
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,57
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,115
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,57
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,57
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,116
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,28
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,116
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,28
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,58
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,29
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,29
1 Total,,,,,,,1038
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,29
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,57
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,58
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,59
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,FS,38
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IB,29
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IS,20
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,LE,58
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PM,58
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PP,59
2,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,TX,58
2 Total,,,,,,,523
3,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,School of Architecture and Planning  Anna University Chennai 600025,BP,39
3 Total,,,,,,,39
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AE,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AT,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AU,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CM,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CS,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EC,57
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EI,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EM,57
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,IM,116
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,PR,58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RA,28
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RP,59
4 Total,,,,,,,723
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,CS,59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,EC,59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,IT,59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,ME,59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,XM,29
1013 Total,,,,,,,265
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CE,59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CS,59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,EC,59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,IT,59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,XC,29
1014 Total,,,,,,,265
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,CS,58
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EC,59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,EE,59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,ME,59
1015,AU UNIV,Non Autonomous,Co.Ed,THIRUVANNAMALAI,University College of Engineering  Arni  Arni to Devikapuram Road  Thatchur  Arni  Thiruvannamalai District 632326,XM,29
1015 Total,,,,,,,264
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,CS,59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EC,59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,EE,59
1026,AU UNIV,Non Autonomous,Co.Ed,KANCHEEPURAM,University College of Engineering  Kancheepuram  Ponnerikarai Campus  NH4  Chennai-Bangalore Highway  Karaipettai Village & Post  Kancheepuram District 631552,ME,58
1026 Total,,,,,,,235
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,AD,59
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,CS,59
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,EC,58
