College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
1445,NM,Non Autonomous,Co.Ed,VILUPPURAM,Sri Rangapoopathi College of Engineering  Alampoondi Village  Gingee  Villupuram District 604151,CS,59,14451445
1445,NM,Non Autonomous,Co.Ed,VILUPPURAM,Sri Rangapoopathi College of Engineering  Alampoondi Village  Gingee  Villupuram District 604151,EC,19,14451445
1445,NM,Non Autonomous,Co.Ed,VILUPPURAM,Sri Rangapoopathi College of Engineering  Alampoondi Village  Gingee  Villupuram District 604151,EE,48,14451445
1445,NM,Non Autonomous,Co.Ed,VILUPPURAM,Sri Rangapoopathi College of Engineering  Alampoondi Village  Gingee  Villupuram District 604151,ME,96,14451445
1445 Total,,,,,,,275,1445 Total1445 Total
1449,NM,Non Autonomous,Co.Ed,VILUPPURAM,Saraswathy College of Engineering and Technology  NH-45  Main Road  Olakkur  Tindivanam Taluk  Villupuram District 604307,AG,59,14491449
1449,NM,Non Autonomous,Co.Ed,VILUPPURAM,Saraswathy College of Engineering and Technology  NH-45  Main Road  Olakkur  Tindivanam Taluk  Villupuram District 604307,CE,29,14491449
1449,NM,Non Autonomous,Co.Ed,VILUPPURAM,Saraswathy College of Engineering and Technology  NH-45  Main Road  Olakkur  Tindivanam Taluk  Villupuram District 604307,CS,59,14491449
1449,NM,Non Autonomous,Co.Ed,VILUPPURAM,Saraswathy College of Engineering and Technology  NH-45  Main Road  Olakkur  Tindivanam Taluk  Villupuram District 604307,EC,59,14491449
1449,NM,Non Autonomous,Co.Ed,VILUPPURAM,Saraswathy College of Engineering and Technology  NH-45  Main Road  Olakkur  Tindivanam Taluk  Villupuram District 604307,ME,59,14491449
1449 Total,,,,,,,265,1449 Total1449 Total
1450,MIN,Non Autonomous,Co.Ed,CHENNAI,Loyola ICAM College of Engineering and Technology  Loyola College Campus  Nungambakkam  Chennai 600034,CS,59,14501450
1450,MIN,Non Autonomous,Co.Ed,CHENNAI,Loyola ICAM College of Engineering and Technology  Loyola College Campus  Nungambakkam  Chennai 600034,EC,30,14501450
1450,MIN,Non Autonomous,Co.Ed,CHENNAI,Loyola ICAM College of Engineering and Technology  Loyola College Campus  Nungambakkam  Chennai 600034,EE,29,14501450
1450,MIN,Non Autonomous,Co.Ed,CHENNAI,Loyola ICAM College of Engineering and Technology  Loyola College Campus  Nungambakkam  Chennai 600034,IT,29,14501450
1450,MIN,Non Autonomous,Co.Ed,CHENNAI,Loyola ICAM College of Engineering and Technology  Loyola College Campus  Nungambakkam  Chennai 600034,ME,29,14501450
1450 Total,,,,,,,176,1450 Total1450 Total
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,AD,19,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,AG,19,14521452
