college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation,OC,OC_7.5,BC,BC_7.5,BCM,BCM_7.5,MBC,MBC_7.5,SC,SC_7.5,SCA,SCA_7.5,ST,ST_7.5,Rounded_OC,Rounded_OC_7.5,Rounded_BC,Rounded_BC_7.5,Rounded_BCM,Rounded_BCM_7.5
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EE,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,ME,118.0000,36.5800,31.2700,4.1300,23.6000,17.7000,3.5400,1.1800,109.1500,8.8500,33.8365,2.7435,28.9248,2.3453,3.8203,0.3098,21.8300,1.7700,16.3725,1.3275,3.2745,0.2655,1.0915,0.0885,34,3,29,2,4,1
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,MT,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2615 Total,,,,,,,470.0000,145.7000,124.5500,16.4500,94.0000,70.5000,14.1000,4.7000,434.7500,35.2500,134.7725,10.9275,115.2088,9.3413,15.2163,1.2338,86.9500,7.0500,65.2125,5.2875,13.0425,1.0575,4.3475,0.3525,135,11,115,9,15,2
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,AU,39.0000,12.0900,10.3350,1.3650,7.8000,5.8500,1.1700,0.3900,36.0750,2.9250,11.1833,0.9067,9.5599,0.7751,1.2626,0.1024,7.2150,0.5850,5.4112,0.4387,1.0822,0.0877,0.3608,0.0292,11,1,10,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CE,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CS,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EC,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EE,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,IT,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,ME,38.0000,11.7800,10.0700,1.3300,7.6000,5.7000,1.1400,0.3800,35.1500,2.8500,10.8965,0.8835,9.3148,0.7553,1.2303,0.0998,7.0300,0.5700,5.2725,0.4275,1.0545,0.0855,0.3515,0.0285,11,1,9,1,1,0
2709 Total,,,,,,,267.0000,82.7700,70.7550,9.3450,53.4000,40.0500,8.0100,2.6700,246.9750,20.0250,76.5623,6.2077,65.4484,5.3066,8.6441,0.7009,49.3950,4.0050,37.0463,3.0037,7.4093,0.6007,2.4698,0.2002,77,6,65,5,9,1
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EC,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,ME,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3464 Total,,,,,,,294.0000,91.1400,77.9100,10.2900,58.8000,44.1000,8.8200,2.9400,271.9500,22.0500,84.3045,6.8355,72.0667,5.8433,9.5183,0.7718,54.3900,4.4100,40.7925,3.3075,8.1585,0.6615,2.7195,0.2205,84,7,72,6,9,1
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EC,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,ME,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
3465 Total,,,,,,,294.0000,91.1400,77.9100,10.2900,58.8000,44.1000,8.8200,2.9400,271.9500,22.0500,84.3045,6.8355,72.0667,5.8433,9.5183,0.7718,54.3900,4.4100,40.7925,3.3075,8.1585,0.6615,2.7195,0.2205,84,7,72,6,9,1
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CS,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EC,118.0000,36.5800,31.2700,4.1300,23.6000,17.7000,3.5400,1.1800,109.1500,8.8500,33.8365,2.7435,28.9248,2.3453,3.8203,0.3098,21.8300,1.7700,16.3725,1.3275,3.2745,0.2655,1.0915,0.0885,34,3,29,2,4,1
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,ME,118.0000,36.5800,31.2700,4.1300,23.6000,17.7000,3.5400,1.1800,109.1500,8.8500,33.8365,2.7435,28.9248,2.3453,3.8203,0.3098,21.8300,1.7700,16.3725,1.3275,3.2745,0.2655,1.0915,0.0885,34,3,29,2,4,1
4974 Total,,,,,,,412.0000,127.7200,109.1800,14.4200,82.4000,61.8000,12.3600,4.1200,381.1000,30.9000,118.1410,9.5790,100.9915,8.1885,13.3385,1.0815,76.2200,6.1800,57.1650,4.6350,11.4330,0.9270,3.8110,0.3090,118,10,101,8,13,1
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EC,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EE,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,ME,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
5009 Total,,,,,,,294.0000,91.1400,77.9100,10.2900,58.8000,44.1000,8.8200,2.9400,271.9500,22.0500,84.3045,6.8355,72.0667,5.8433,9.5183,0.7718,54.3900,4.4100,40.7925,3.3075,8.1585,0.6615,2.7195,0.2205,84,7,72,6,9,1
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,CE,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
