college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EE,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,ME,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
5009 Total,,,,,,,294.0,91.14,77.91,10.29,58.8,44.1,8.82,2.94,271.95,22.05
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,CE,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,EE,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,ME,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
5901 Total,,,,,,,412.0,127.72,109.18,14.42,82.4,61.8,12.36,4.12,381.1,30.9
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CE,29.0,8.99,7.685,1.015,5.8,4.35,0.87,0.29,26.825000000000003,2.175
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,ME,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MT,30.0,9.3,7.95,1.05,6.0,4.5,0.9,0.3,27.75,2.25
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PR,29.0,8.99,7.685,1.015,5.8,4.35,0.87,0.29,26.825000000000003,2.175
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,TX,29.0,8.99,7.685,1.015,5.8,4.35,0.87,0.29,26.825000000000003,2.175
2006 Total,,,,,,,294.0,91.14,77.91,10.29,58.8,44.1,8.82,2.94,271.95,22.05
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CE,44.0,13.64,11.66,1.54,8.8,6.6,1.32,0.44,40.7,3.3
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CH,39.0,12.09,10.335,1.365,7.8,5.85,1.17,0.39,36.075,2.925
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EE,63.0,19.53,16.695,2.205,12.6,9.45,1.89,0.63,58.275000000000006,4.725
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,ME,64.0,19.84,16.96,2.24,12.8,9.6,1.92,0.64,59.2,4.8
2007 Total,,,,,,,328.0,101.68,86.92,11.48,65.6,49.2,9.84,3.28,303.40000000000003,24.599999999999998
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CE,39.0,12.09,10.335,1.365,7.8,5.85,1.17,0.39,36.075,2.925
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CS,49.0,15.19,12.985,1.715,9.8,7.35,1.47,0.49,45.325,3.675
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EC,49.0,15.19,12.985,1.715,9.8,7.35,1.47,0.49,45.325,3.675
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EE,49.0,15.19,12.985,1.715,9.8,7.35,1.47,0.49,45.325,3.675
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,ME,49.0,15.19,12.985,1.715,9.8,7.35,1.47,0.49,45.325,3.675
5008 Total,,,,,,,235.0,72.85,62.275,8.225,47.0,35.25,7.05,2.35,217.375,17.625
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,AS,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,BS,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,BY,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CG,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CM,95.0,29.45,25.175,3.325,19.0,14.25,2.85,0.95,87.875,7.125
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CN,21.0,6.51,5.565,0.735,4.2,3.15,0.63,0.21,19.425,1.575
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EM,53.0,16.43,14.045,1.855,10.6,7.95,1.59,0.53,49.025000000000006,3.9749999999999996
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,ES,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,FY,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,IM,95.0,29.45,25.175,3.325,19.0,14.25,2.85,0.95,87.875,7.125
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,IY,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MF,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MS,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MY,21.0,6.51,5.565,0.735,4.2,3.15,0.63,0.21,19.425,1.575
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PN,21.0,6.51,5.565,0.735,4.2,3.15,0.63,0.21,19.425,1.575
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,PS,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,RA,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,TT,21.0,6.51,5.565,0.735,4.2,3.15,0.63,0.21,19.425,1.575
2006 Total,,,,,,,778.0,241.18,206.17,27.23,155.6,116.7,23.34,7.78,719.6500000000001,58.349999999999994
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,AT,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CL,14.0,4.34,3.71,0.49,2.8,2.1,0.42,0.14,12.950000000000001,1.05
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CM,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,CN,10.0,3.1,2.65,0.35,2.0,1.5,0.3,0.1,9.25,0.75
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EM,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,EY,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,IM,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
2007,GA,Autonomous,Co.Ed,COIMBATORE,Coimbatore Institute of Technology (Autonomous)  Civil Aerodrome Post  Coimbatore District 641014,MF,39.0,12.09,10.335,1.365,7.8,5.85,1.17,0.39,36.075,2.925
2007 Total,,,,,,,265.0,82.15,70.225,9.275,53.0,39.75,7.95,2.65,245.125,19.875
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CM,89.0,27.59,23.585,3.115,17.8,13.35,2.67,0.89,82.325,6.675
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CN,55.0,17.05,14.575,1.925,11.0,8.25,1.65,0.55,50.875,4.125
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,CW,47.0,14.57,12.455,1.645,9.4,7.05,1.41,0.47,43.475,3.525
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EM,89.0,27.59,23.585,3.115,17.8,13.35,2.67,0.89,82.325,6.675
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,EY,48.0,14.88,12.72,1.68,9.6,7.2,1.44,0.48,44.400000000000006,3.5999999999999996
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,IM,124.0,38.44,32.86,4.34,24.8,18.6,3.72,1.24,114.7,9.299999999999999
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,MF,48.0,14.88,12.72,1.68,9.6,7.2,1.44,0.48,44.400000000000006,3.5999999999999996
5008,GA,Autonomous,Co.Ed,MADURAI,Thiagarajar College of Engineering (Autonomous) Tirupparankundram  Madurai District 625015,MG,41.0,12.71,10.865,1.435,8.2,6.15,1.23,0.41,37.925000000000004,3.0749999999999997
5008 Total,,,,,,,541.0,167.71,143.365,18.935,108.2,81.15,16.23,5.41,500.425,40.574999999999996
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,57.0,17.67,15.105,1.995,11.4,8.55,1.71,0.57,52.725,4.2749999999999995
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
1,AU DEPT,Non Autonomous,Co.Ed,CHENNAI,University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,115.0,35.65,30.475,4.025,23.0,17.25,3.45,1.15,106.375,8.625
